import time: self [us] | cumulative | imported package
import time:       604 |        604 |                     prometheus_client.samples
import time:       387 |        991 |                   prometheus_client.metrics_core
import time:       367 |       1357 |                 prometheus_client.registry
import time:        51 |         51 |                 snappy
import time:       215 |        215 |                 prometheus_client.asgi
import time:       728 |       7773 |               prometheus_client.exposition
import time:        25 |         25 |                 gc
import time:       229 |        253 |               prometheus_client.gc_collector
import time:       970 |        970 |                     mmap
import time:       376 |       1346 |                   prometheus_client.mmap_dict
import time:       235 |       1580 |                 prometheus_client.values
import time:       267 |        267 |                   timeit
import time:       472 |        472 |                   prometheus_client.decorator
import time:       318 |       1057 |                 prometheus_client.context_managers
import time:       501 |       3137 |               prometheus_client.metrics
import time:       259 |        259 |               prometheus_client.platform_collector
import time:       986 |        986 |                 resource
import time:       241 |       1226 |               prometheus_client.process_collector
import time:       428 |      13072 |             prometheus_client
import time:       154 |        154 |             prometheus_client.multiprocess
import time:       405 |        405 |                 livekit.agents.utils.aio.debug
import time:       225 |        225 |                 livekit.agents.utils.aio.duplex_unix
import time:      1329 |       1329 |                   typing_extensions
import time:       466 |       1794 |                 livekit.agents.utils.aio.itertools
import time:       372 |        372 |                 livekit.agents.utils.aio.channel
import time:       333 |        333 |                 livekit.agents.utils.aio.counter
import time:       245 |        245 |                 livekit.agents.utils.aio.interval
import time:      1244 |       1244 |                 livekit.agents.utils.aio.sleep
import time:       149 |        149 |                 livekit.agents.utils.aio.task_set
import time:       114 |        114 |                 livekit.agents.utils.aio.utils
import time:       218 |        218 |                 livekit.agents.utils.aio.wait_group
import time:       484 |       5577 |               livekit.agents.utils.aio
import time:       368 |        368 |                   numpy._typing._add_docstring
import time:       211 |        578 |                 numpy.typing
import time:       272 |        850 |               livekit.agents.utils.audio
import time:      1691 |       1691 |                       _queue
import time:       314 |       2005 |                     queue
import time:       284 |       2288 |                   concurrent.futures.thread
import time:     14515 |      14515 |                     av._core
import time:      1415 |       1415 |                     av.logging
import time:       313 |        313 |                     av.about
import time:      1326 |       1326 |                             av.buffer
import time:      1245 |       1245 |                                   av.audio.format
import time:      1872 |       1872 |                                       av.error
import time:      1332 |       3203 |                                     av.dictionary
import time:      1350 |       1350 |                                                   av.container.pyio
import time:       301 |        301 |                                                       av.sidedata
import time:      1691 |       1691 |                                                         av.format
import time:      3207 |       3207 |                                                         av.index
import time:      1753 |       1753 |                                                                 _decimal
import time:       228 |       1980 |                                                               decimal
import time:       965 |       2945 |                                                             fractions
import time:      3315 |       6259 |                                                           av.utils
import time:      2060 |       8319 |                                                         av.stream
import time:      1665 |      14879 |                                                       av.container.streams
import time:      1625 |       1625 |                                                       av.sidedata.encparams
import time:      1631 |       1631 |                                                       av.sidedata.motionvectors
import time:      1788 |      20224 |                                                     av.sidedata.sidedata
import time:      1477 |       1477 |                                                     av.opaque
import time:      1454 |       1454 |                                                     av.rational
import time:      1539 |      24692 |                                                   av.packet
import time:      1681 |       1681 |                                                   av.container.input
import time:      1575 |       1575 |                                                     av.bitstream
import time:      1764 |       3338 |                                                   av.container.output
import time:      1902 |      32962 |                                                 av.container.core
import time:       393 |      33354 |                                               av.container
import time:        11 |      33365 |                                             av.container.pyio
import time:      2858 |      36222 |                                           av.codec.context
import time:      1731 |       1731 |                                           av.video.format
import time:      2297 |       2297 |                                           av.video.reformatter
import time:      1722 |       1722 |                                           av.plane
import time:      1705 |       1705 |                                           av.video.plane
import time:      1909 |      45585 |                                         av.video.frame
import time:      1764 |       1764 |                                         av.video.stream
import time:       400 |      47748 |                                       av.video
import time:        22 |      47769 |                                     av.video.format
import time:      1759 |      52731 |                                   av.codec.hwaccel
import time:      1955 |      55931 |                                 av.codec.codec
import time:       409 |      56340 |                               av.codec
import time:        11 |      56350 |                             av.codec.codec
import time:      1340 |      59015 |                           av.frame
import time:      1920 |       1920 |                           av.audio.layout
import time:      1771 |       1771 |                           av.audio.plane
import time:      1597 |      64302 |                         av.audio.frame
import time:      1919 |       1919 |                         av.audio.stream
import time:       282 |      66503 |                       av.audio
import time:      2098 |       2098 |                                 av.filter.link
import time:      2159 |       4256 |                               av.filter.context
import time:      2237 |       6493 |                             av.filter.graph
import time:      2433 |       8925 |                           av.filter.filter
import time:      2156 |       2156 |                           av.filter.loudnorm
import time:       510 |      11590 |                         av.filter
import time:        13 |      11603 |                       av.filter.filter
import time:      2167 |       2167 |                       av.audio.resampler
import time:      2309 |      82580 |                     av.audio.codeccontext
import time:      2036 |       2036 |                     av.audio.fifo
import time:      1967 |       1967 |                     av.device
import time:      2535 |       2535 |                     av.video.codeccontext
import time:       963 |     106321 |                   av
import time:       468 |     109076 |                 livekit.agents.utils.codecs.decoder
import time:       357 |     109433 |               livekit.agents.utils.codecs
import time:       463 |        463 |                   certifi.core
import time:       520 |        982 |                 certifi
import time:       733 |       1715 |               livekit.agents.utils.http_context
import time:       940 |        940 |               livekit.agents.utils.http_server
import time:       841 |        841 |                     psutil._common
import time:      2269 |       2269 |                     psutil._ntuples
import time:      2361 |       2361 |                         psutil._psutil_osx
import time:       714 |       3075 |                       psutil._psposix
import time:       759 |       3833 |                     psutil._psosx
import time:      1102 |       8043 |                   psutil
import time:       386 |       8429 |                 livekit.agents.utils.hw.cpu
import time:       394 |       8823 |               livekit.agents.utils.hw
import time:       764 |        764 |                 livekit.agents.utils.images.image
import time:       220 |        984 |               livekit.agents.utils.images
import time:       446 |        446 |               livekit.agents.utils.bounded_dict
import time:       339 |        339 |               livekit.agents.utils.connection_pool
import time:      3300 |       3300 |                             pydantic_core._pydantic_core
import time:      5281 |       5281 |                             pydantic_core.core_schema
import time:       441 |       9021 |                           pydantic_core
import time:       218 |       9238 |                         pydantic.version
import time:       457 |       9694 |                       pydantic.warnings
import time:       704 |      10398 |                     pydantic._migration
import time:       463 |        463 |                         typing_inspection
import time:       863 |        863 |                         typing_inspection.typing_objects
import time:      1132 |       2457 |                       typing_inspection.introspection
import time:       292 |        292 |                       pydantic._internal
import time:      1050 |       1050 |                           pydantic._internal._namespace_utils
import time:      1180 |       2229 |                         pydantic._internal._typing_extra
import time:       628 |       2857 |                       pydantic._internal._repr
import time:      1397 |       7002 |                     pydantic.errors
import time:       358 |      17757 |                   pydantic
import time:      1319 |      19075 |                 livekit.agents.types
import time:       291 |        291 |                 livekit.agents.utils.misc
import time:       260 |      19625 |               livekit.agents.utils.env
import time:       334 |        334 |               livekit.agents.utils.exp_filter
import time:       517 |        517 |               livekit.agents.utils.log
import time:       304 |        304 |               livekit.agents.utils.moving_average
import time:      1384 |       1384 |               livekit.agents.utils.participant
import time:       517 |     151780 |             livekit.agents.utils
import time:       371 |     178331 |           livekit.agents.telemetry.http_server
import time:       307 |        307 |           livekit.agents.telemetry.metrics
import time:       279 |        279 |             opentelemetry
import time:       280 |        280 |                 opentelemetry.environment_variables
import time:       425 |        425 |                     opentelemetry.context.context
import time:       232 |        232 |                     opentelemetry.context.contextvars_context
import time:       495 |       1151 |                   opentelemetry.context
import time:        54 |         54 |                       opentelemetry.util
import time:       516 |        570 |                     opentelemetry.util.types
import time:       241 |        811 |                   opentelemetry.metrics._internal.observation
import time:      2032 |       3993 |                 opentelemetry.metrics._internal.instrument
import time:       264 |        264 |                 opentelemetry.util._once
import time:       383 |        383 |                 opentelemetry.util._providers
import time:      1506 |       6424 |               opentelemetry.metrics._internal
import time:       764 |       7188 |             opentelemetry.metrics
import time:       206 |        206 |                       pydantic._internal._internal_dataclass
import time:       774 |        979 |                     pydantic.aliases
import time:       761 |        761 |                     pydantic.config
import time:       393 |       2132 |                   pydantic._internal._config
import time:       400 |        400 |                     pydantic._internal._core_utils
import time:       357 |        357 |                       pydantic._internal._import_utils
import time:       972 |       1329 |                     pydantic._internal._utils
import time:      2114 |       3842 |                   pydantic._internal._decorators
import time:       391 |        391 |                       pydantic._internal._forward_ref
import time:       406 |        796 |                     pydantic._internal._generics
import time:       162 |        162 |                     pydantic._internal._docs_extraction
import time:       869 |       1826 |                   pydantic._internal._fields
import time:       662 |        662 |                       pydantic.plugin
import time:       516 |       1177 |                     pydantic.plugin._schema_validator
import time:       374 |       1551 |                   pydantic._internal._mock_val_ser
import time:       638 |        638 |                           sysconfig
import time:       707 |        707 |                           _sysconfigdata__darwin_darwin
import time:       327 |        327 |                           _osx_support
import time:       767 |       2438 |                         zoneinfo._tzpath
import time:       257 |        257 |                         zoneinfo._common
import time:      2169 |       2169 |                         _zoneinfo
import time:       341 |       5203 |                       zoneinfo
import time:      2255 |       2255 |                       pydantic.functional_validators
import time:       245 |        245 |                         pydantic._internal._core_metadata
import time:       189 |        189 |                         pydantic._internal._schema_generation_shared
import time:      1546 |       1979 |                       pydantic.json_schema
import time:      1021 |       1021 |                       pydantic._internal._discriminated_union
import time:       353 |        353 |                       pydantic._internal._known_annotated_metadata
import time:      3918 |       3918 |                       pydantic._internal._schema_gather
import time:      1158 |      15885 |                     pydantic._internal._generate_schema
import time:       429 |        429 |                     pydantic._internal._signature
import time:       540 |      16853 |                   pydantic._internal._model_construction
import time:      6332 |       6332 |                     annotated_types
import time:       460 |        460 |                     pydantic._internal._validators
import time:      3472 |       3472 |                     pydantic.types
import time:      1537 |      11799 |                   pydantic.fields
import time:       269 |        269 |                           zipfile._path.glob
import time:       878 |       1147 |                         zipfile._path
import time:       809 |       1956 |                       zipfile
import time:       458 |        458 |                       importlib.metadata._meta
import time:       286 |        286 |                       importlib.metadata._collections
import time:       210 |        210 |                       importlib.metadata._functools
import time:       307 |        307 |                       importlib.metadata._itertools
import time:       328 |        328 |                       importlib.abc
import time:      1669 |       5211 |                     importlib.metadata
import time:       423 |       5633 |                   pydantic.plugin._loader
import time:     15021 |      58654 |                 livekit.agents.metrics.base
import time:      4648 |       4648 |                 livekit.agents.metrics.usage
import time:       746 |        746 |                 livekit.agents.metrics.usage_collector
import time:       353 |        353 |                 livekit.agents.metrics.utils
import time:       509 |      64909 |               livekit.agents.metrics
import time:        14 |      64923 |             livekit.agents.metrics.base
import time:       788 |      73177 |           livekit.agents.telemetry.otel_metrics
import time:       640 |        640 |           livekit.agents.telemetry.trace_types
import time:       428 |        428 |               opentelemetry.attributes
import time:       320 |        320 |                   opentelemetry.trace.status
import time:       873 |       1192 |                 opentelemetry.trace.span
import time:       362 |       1554 |               opentelemetry.trace.propagation
import time:       460 |        460 |               opentelemetry.util._decorator
import time:       944 |       3384 |             opentelemetry.trace
import time:       192 |       3576 |           livekit.agents.telemetry.utils
import time:       916 |        916 |                 urllib3.exceptions
import time:       559 |        559 |                         urllib3.util.timeout
import time:      1053 |       1611 |                       urllib3.util.connection
import time:       347 |        347 |                         urllib3.util.util
import time:        63 |         63 |                         brotlicffi
import time:        45 |         45 |                         brotli
import time:        42 |         42 |                         backports
import time:       513 |       1009 |                       urllib3.util.request
import time:       361 |        361 |                       urllib3.util.response
import time:       461 |        461 |                       urllib3.util.retry
import time:      4059 |       4059 |                         urllib3.util.url
import time:       401 |        401 |                         urllib3.util.ssltransport
import time:       508 |       4967 |                       urllib3.util.ssl_
import time:       248 |        248 |                       urllib3.util.wait
import time:       240 |       8894 |                     urllib3.util
import time:        17 |       8911 |                   urllib3.util.connection
import time:       533 |       9443 |                 urllib3._base_connection
import time:       514 |        514 |                 urllib3._collections
import time:       282 |        282 |                 urllib3._version
import time:       260 |        260 |                       urllib3.fields
import time:       260 |        519 |                     urllib3.filepost
import time:        55 |         55 |                       brotlicffi
import time:        43 |         43 |                       brotli
import time:       250 |        250 |                         urllib3.http2
import time:       324 |        324 |                         urllib3.http2.probe
import time:       766 |        766 |                         urllib3.util.ssl_match_hostname
import time:       569 |       1908 |                       urllib3.connection
import time:        65 |         65 |                       backports
import time:       670 |       2740 |                     urllib3.response
import time:       327 |       3585 |                   urllib3._request_methods
import time:       144 |        144 |                   urllib3.util.proxy
import time:       534 |       4262 |                 urllib3.connectionpool
import time:       794 |        794 |                 urllib3.poolmanager
import time:       353 |      16562 |               urllib3
import time:      1700 |       1700 |                         charset_normalizer.constant
import time:       370 |        370 |                         charset_normalizer.utils
import time:      2733 |       4802 |                       charset_normalizer.md
import time:      4138 |       8939 |                     charset_normalizer.cd
import time:       599 |        599 |                     charset_normalizer.models
import time:      4376 |       4376 |                     _multibytecodec
import time:     21592 |      35505 |                   charset_normalizer.api
import time:       345 |        345 |                   charset_normalizer.legacy
import time:       217 |        217 |                   charset_normalizer.version
import time:        78 |         78 |                   simplejson
import time:      1710 |       1710 |                   http.cookiejar
import time:       484 |      38337 |                 requests.compat
import time:       699 |      39036 |               requests.exceptions
import time:        72 |         72 |               chardet
import time:       570 |        570 |               requests.packages
import time:       232 |        232 |                 requests.certs
import time:       271 |        271 |                 requests.__version__
import time:      1649 |       1649 |                 requests._internal_utils
import time:       444 |        444 |                 requests._types
import time:       578 |        578 |                 requests.cookies
import time:       449 |        449 |                 requests.structures
import time:       302 |        302 |                 importlib.resources._adapters
import time:       242 |        242 |                     importlib.resources._itertools
import time:       338 |        580 |                   importlib.resources.readers
import time:       214 |        794 |                 importlib.readers
import time:       908 |       5624 |               requests.utils
import time:       353 |        353 |                     requests.auth
import time:       397 |        397 |                         stringprep
import time:       432 |        829 |                       encodings.idna
import time:       410 |        410 |                       requests.hooks
import time:       402 |        402 |                       requests.status_codes
import time:      1211 |       2849 |                     requests.models
import time:       184 |        184 |                       urllib3.contrib
import time:       306 |        306 |                       socks
import time:       397 |        885 |                     urllib3.contrib.socks
import time:       396 |       4482 |                   requests.adapters
import time:       532 |       5013 |                 requests.sessions
import time:       360 |       5372 |               requests.api
import time:       470 |      67704 |             requests
import time:       539 |        539 |                 opentelemetry._logs.severity
import time:       624 |       1163 |               opentelemetry._logs._internal
import time:      1147 |       2309 |             opentelemetry._logs
import time:        47 |         47 |                   opentelemetry.exporter
import time:       473 |        520 |                 opentelemetry.exporter.otlp
import time:       101 |        620 |               opentelemetry.exporter.otlp.proto
import time:       512 |        512 |               opentelemetry.exporter.otlp.proto.http.version
import time:       656 |       1787 |             opentelemetry.exporter.otlp.proto.http
import time:       342 |        342 |                   opentelemetry.exporter.otlp.proto.common.version
import time:       268 |        609 |                 opentelemetry.exporter.otlp.proto.common
import time:       330 |        330 |                       opentelemetry.semconv
import time:       227 |        557 |                     opentelemetry.semconv._incubating
import time:       180 |        737 |                   opentelemetry.semconv._incubating.attributes
import time:      1006 |       1743 |                 opentelemetry.semconv._incubating.attributes.otel_attributes
import time:        47 |         47 |                   opentelemetry.semconv._incubating.metrics
import time:       598 |        644 |                 opentelemetry.semconv._incubating.metrics.otel_metrics
import time:       367 |        367 |                   opentelemetry.semconv.attributes
import time:       748 |       1115 |                 opentelemetry.semconv.attributes.error_attributes
import time:       328 |        328 |                 opentelemetry.semconv.attributes.server_attributes
import time:       725 |       5161 |               opentelemetry.exporter.otlp.proto.common._exporter_metrics
import time:       358 |        358 |                           opentelemetry.proto
import time:       356 |        714 |                         opentelemetry.proto.common
import time:       253 |        966 |                       opentelemetry.proto.common.v1
import time:      1095 |       2061 |                     opentelemetry.proto.common.v1.common_pb2
import time:       232 |        232 |                         opentelemetry.proto.resource
import time:       294 |        526 |                       opentelemetry.proto.resource.v1
import time:       229 |        754 |                     opentelemetry.proto.resource.v1.resource_pb2
import time:        47 |         47 |                       opentelemetry.sdk
import time:       457 |        457 |                       opentelemetry.sdk.util
import time:       347 |        347 |                       opentelemetry.sdk.environment_variables
import time:       312 |        312 |                       opentelemetry.sdk.environment_variables._internal
import time:       324 |        324 |                         opentelemetry.sdk.version
import time:      1212 |       1212 |                         opentelemetry.semconv.resource
import time:       486 |       2021 |                       opentelemetry.sdk.resources
import time:       684 |        684 |                       opentelemetry.sdk.trace.sampling
import time:       302 |        302 |                       opentelemetry.sdk.trace._tracer_metrics
import time:       248 |        248 |                       opentelemetry.sdk.trace.id_generator
import time:       299 |        299 |                         opentelemetry.sdk.util.instrumentation
import time:       230 |        528 |                       opentelemetry.sdk.util._configurator
import time:       126 |        126 |                       opentelemetry.semconv.attributes.exception_attributes
import time:      1539 |       6608 |                     opentelemetry.sdk.trace
import time:       427 |       9849 |                   opentelemetry.exporter.otlp.proto.common._internal
import time:       121 |        121 |                         opentelemetry.proto.collector
import time:        90 |        211 |                       opentelemetry.proto.collector.logs
import time:        75 |        285 |                     opentelemetry.proto.collector.logs.v1
import time:        32 |         32 |                       opentelemetry.proto.logs
import time:       226 |        258 |                     opentelemetry.proto.logs.v1
import time:       377 |        377 |                     opentelemetry.proto.logs.v1.logs_pb2
import time:       210 |       1128 |                   opentelemetry.proto.collector.logs.v1.logs_service_pb2
import time:       393 |        393 |                       opentelemetry.sdk._logs._internal._exceptions
import time:       165 |        165 |                       opentelemetry.sdk._logs._internal._logger_metrics
import time:       272 |        272 |                       opentelemetry.semconv._incubating.attributes.code_attributes
import time:      2513 |       3342 |                     opentelemetry.sdk._logs._internal
import time:       164 |       3505 |                   opentelemetry.sdk._logs
import time:       235 |      14715 |                 opentelemetry.exporter.otlp.proto.common._internal._log_encoder
import time:       401 |      15116 |               opentelemetry.exporter.otlp.proto.common._log_encoder
import time:       261 |        261 |                 opentelemetry.util._importlib_metadata
import time:       206 |        467 |               opentelemetry.exporter.otlp.proto.http._common
import time:      1390 |       1390 |                     opentelemetry.sdk._shared_internal._processor_metrics
import time:       601 |       1990 |                   opentelemetry.sdk._shared_internal
import time:       562 |       2551 |                 opentelemetry.sdk._logs._internal.export
import time:       279 |        279 |                 opentelemetry.sdk._logs._internal.export.in_memory_log_exporter
import time:       147 |       2977 |               opentelemetry.sdk._logs.export
import time:       239 |        239 |               opentelemetry.semconv.attributes.http_attributes
import time:       464 |        464 |               opentelemetry.util.re
import time:      1045 |      25465 |             opentelemetry.exporter.otlp.proto.http._log_exporter
import time:       285 |        285 |                     opentelemetry.proto.collector.metrics
import time:       279 |        563 |                   opentelemetry.proto.collector.metrics.v1
import time:       128 |        128 |                     opentelemetry.proto.metrics
import time:       167 |        295 |                   opentelemetry.proto.metrics.v1
import time:       452 |        452 |                   opentelemetry.proto.metrics.v1.metrics_pb2
import time:       247 |       1555 |                 opentelemetry.proto.collector.metrics.v1.metrics_service_pb2
import time:       285 |        285 |                         opentelemetry.sdk.metrics._internal.exceptions
import time:       811 |        811 |                           opentelemetry.sdk.metrics._internal.exemplar.exemplar
import time:       288 |        288 |                           opentelemetry.sdk.metrics._internal.exemplar.exemplar_filter
import time:       323 |        323 |                           opentelemetry.sdk.metrics._internal.exemplar.exemplar_reservoir
import time:       349 |       1768 |                         opentelemetry.sdk.metrics._internal.exemplar
import time:       561 |        561 |                           opentelemetry.sdk.metrics._internal.measurement
import time:       719 |       1280 |                         opentelemetry.sdk.metrics._internal.instrument
import time:       250 |        250 |                                   opentelemetry.sdk.metrics._internal.exponential_histogram
import time:       417 |        666 |                                 opentelemetry.sdk.metrics._internal.exponential_histogram.buckets
import time:       224 |        224 |                                 opentelemetry.sdk.metrics._internal.exponential_histogram.mapping
import time:       243 |        243 |                                   opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.errors
import time:       172 |        172 |                                   opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.ieee_754
import time:       273 |        688 |                                 opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.exponent_mapping
import time:       318 |        318 |                                 opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.logarithm_mapping
import time:      8628 |       8628 |                                 opentelemetry.sdk.metrics._internal.point
import time:       720 |      11242 |                               opentelemetry.sdk.metrics._internal.aggregation
import time:       337 |        337 |                               opentelemetry.sdk.metrics._internal.view
import time:       256 |      11834 |                             opentelemetry.sdk.metrics._internal._view_instrument_match
import time:       464 |        464 |                             opentelemetry.sdk.metrics._internal.sdk_configuration
import time:       277 |      12574 |                           opentelemetry.sdk.metrics._internal.metric_reader_storage
import time:       297 |      12871 |                         opentelemetry.sdk.metrics._internal.measurement_consumer
import time:       575 |      16777 |                       opentelemetry.sdk.metrics._internal
import time:        14 |      16790 |                     opentelemetry.sdk.metrics._internal.aggregation
import time:       356 |        356 |                       opentelemetry.sdk.metrics._internal.export._metric_reader_metrics
import time:      2931 |       3287 |                     opentelemetry.sdk.metrics._internal.export
import time:       285 |      20361 |                   opentelemetry.sdk.metrics.export
import time:       176 |        176 |                   opentelemetry.sdk.metrics.view
import time:       150 |      20685 |                 opentelemetry.sdk.metrics
import time:       373 |      22612 |               opentelemetry.exporter.otlp.proto.common._internal.metrics_encoder
import time:       258 |        258 |               opentelemetry.exporter.otlp.proto.common.metrics_encoder
import time:       483 |      23352 |             opentelemetry.exporter.otlp.proto.http.metric_exporter
import time:       355 |        355 |                       opentelemetry.proto.collector.trace
import time:       253 |        608 |                     opentelemetry.proto.collector.trace.v1
import time:       131 |        131 |                       opentelemetry.proto.trace
import time:       356 |        486 |                     opentelemetry.proto.trace.v1
import time:       367 |        367 |                     opentelemetry.proto.trace.v1.trace_pb2
import time:       304 |       1763 |                   opentelemetry.proto.collector.trace.v1.trace_service_pb2
import time:       297 |       2059 |                 opentelemetry.exporter.otlp.proto.common._internal.trace_encoder
import time:       215 |       2274 |               opentelemetry.exporter.otlp.proto.common.trace_encoder
import time:       540 |        540 |               opentelemetry.sdk.trace.export
import time:       948 |       3761 |             opentelemetry.exporter.otlp.proto.http.trace_exporter
import time:       702 |     125078 |           livekit.agents.telemetry.traces
import time:       496 |     381601 |         livekit.agents.telemetry
import time:       289 |        289 |         livekit.agents.utils.deprecation
import time:      1703 |     677968 |       livekit.agents.job
import time:       552 |        552 |                     livekit.agents.llm._provider_format.utils
import time:      1311 |       1862 |                   livekit.agents.llm._provider_format.anthropic
import time:       302 |        302 |                   livekit.agents.llm._provider_format.aws
import time:       294 |        294 |                   livekit.agents.llm._provider_format.google
import time:       260 |        260 |                   livekit.agents.llm._provider_format.mistralai
import time:       225 |        225 |                   livekit.agents.llm._provider_format.openai
import time:       149 |       3091 |                 livekit.agents.llm._provider_format
import time:      5400 |       8491 |               livekit.agents.llm.chat_context
import time:       581 |       9071 |             livekit.agents.llm.remote_chat_context
import time:       965 |        965 |                       json_repair.parser_schema
import time:       320 |        320 |                         json_repair.utils
import time:       312 |        632 |                       json_repair.utils.constants
import time:       250 |        250 |                       json_repair.utils.json_context
import time:       207 |        207 |                       json_repair.utils.object_comparer
import time:       265 |       2316 |                     json_repair.parse_array
import time:       133 |        133 |                     json_repair.parse_comment
import time:       132 |        132 |                     json_repair.parse_number
import time:       194 |        194 |                       json_repair.utils.pattern_properties
import time:       293 |        487 |                     json_repair.parse_object
import time:       197 |        197 |                         json_repair.parse_string_helpers
import time:       472 |        668 |                       json_repair.parse_string_helpers.object_value_context
import time:       116 |        116 |                       json_repair.parse_string_helpers.parse_boolean_or_null
import time:       104 |        104 |                       json_repair.parse_string_helpers.parse_json_llm_block
import time:       963 |       1849 |                     json_repair.parse_string
import time:       233 |        233 |                     json_repair.parser_parenthesized
import time:       245 |        245 |                     json_repair.utils.string_file_wrapper
import time:       340 |       5731 |                   json_repair.json_parser
import time:       379 |        379 |                   json_repair.schema_repair
import time:       512 |       6620 |                 json_repair.json_repair
import time:       373 |       6993 |               json_repair
import time:       270 |        270 |               livekit.agents.llm._strict
import time:      1613 |       1613 |               livekit.agents.llm.tool_context
import time:      1490 |      10365 |             livekit.agents.llm.utils
import time:       288 |        288 |               livekit.agents._exceptions
import time:      2931 |       2931 |               livekit.agents.llm.llm
import time:       911 |       4129 |             livekit.agents.llm.fallback_adapter
import time:      2388 |       2388 |             livekit.agents.llm.realtime
import time:       612 |        612 |             livekit.agents.llm.realtime_fallback_adapter
import time:       353 |      26916 |           livekit.agents.llm
import time:       906 |        906 |               livekit.agents.vad
import time:       414 |        414 |                   livekit.agents._language_data
import time:       172 |        586 |                 livekit.agents.language
import time:      2827 |       3412 |               livekit.agents.stt.stt
import time:       798 |       5116 |             livekit.agents.stt.fallback_adapter
import time:       787 |        787 |             livekit.agents.stt.multi_speaker_adapter
import time:       318 |        318 |             livekit.agents.stt.stream_adapter
import time:       324 |       6544 |           livekit.agents.stt
import time:       210 |        210 |                     livekit.agents.version
import time:       220 |        429 |                   livekit.agents.inference._utils
import time:       984 |        984 |                     livekit.agents.voice.turn
import time:       297 |        297 |                     livekit.agents.inference.eot.languages
import time:       660 |       1940 |                   livekit.agents.inference.eot.base
import time:      2652 |       2652 |                       livekit.local_inference._native
import time:       313 |       2965 |                     livekit.local_inference
import time:       599 |       3564 |                   livekit.agents.inference.eot.transports
import time:       410 |       6342 |                 livekit.agents.inference.eot.detector
import time:       387 |       6729 |               livekit.agents.inference.eot
import time:      6283 |       6283 |               livekit.agents.inference.interruption
import time:       841 |        841 |                   httpx.__version__
import time:       439 |        439 |                         httpx._exceptions
import time:      1463 |       1463 |                               httpx._types
import time:       395 |        395 |                               httpx._utils
import time:       590 |       2448 |                             httpx._multipart
import time:       313 |       2760 |                           httpx._content
import time:        67 |         67 |                             brotli
import time:       135 |        135 |                             brotlicffi
import time:      3252 |       3252 |                               zstandard.backend_c
import time:       451 |       3703 |                             zstandard
import time:       422 |       4326 |                           httpx._decoders
import time:       871 |        871 |                           httpx._status_codes
import time:      1304 |       1304 |                             httpx._urlparse
import time:       433 |       1737 |                           httpx._urls
import time:       608 |      10299 |                         httpx._models
import time:       805 |      11542 |                       httpx._auth
import time:       277 |        277 |                       httpx._config
import time:       234 |        234 |                             httpx._transports.base
import time:       455 |        688 |                           httpx._transports.asgi
import time:       352 |        352 |                           httpx._transports.default
import time:       677 |        677 |                           httpx._transports.mock
import time:       292 |        292 |                           httpx._transports.wsgi
import time:       215 |       2222 |                         httpx._transports
import time:        16 |       2237 |                       httpx._transports.base
import time:       636 |      14691 |                     httpx._client
import time:       273 |      14964 |                   httpx._api
import time:       418 |        418 |                           click._compat
import time:       254 |        254 |                             click.globals
import time:       343 |        343 |                             click.utils
import time:       510 |       1107 |                           click.exceptions
import time:      1348 |       2871 |                         click.types
import time:       349 |        349 |                         click._utils
import time:       321 |        321 |                           click.parser
import time:       275 |        595 |                         click.formatting
import time:       343 |        343 |                         click.termui
import time:      1129 |       5285 |                       click.core
import time:       504 |        504 |                       click.decorators
import time:       472 |       6260 |                     click
import time:       454 |        454 |                       pygments
import time:      1803 |       1803 |                       pygments.lexers._mapping
import time:       572 |        572 |                       pygments.modeline
import time:       226 |        226 |                       pygments.plugin
import time:       579 |        579 |                       pygments.util
import time:       582 |       4214 |                     pygments.lexers
import time:       653 |        653 |                         rich._extension
import time:       492 |       1144 |                       rich
import time:       289 |        289 |                       rich._null_file
import time:       358 |        358 |                       rich.errors
import time:       222 |        222 |                               colorsys
import time:       420 |        420 |                                   rich.color_triplet
import time:       392 |        812 |                                 rich.palette
import time:       240 |       1051 |                               rich._palettes
import time:       539 |        539 |                               rich.repr
import time:       311 |        311 |                               rich.terminal_theme
import time:      1034 |       3156 |                             rich.color
import time:       545 |       3700 |                           rich.style
import time:       437 |       4136 |                         rich.default_styles
import time:       321 |        321 |                         rich.theme
import time:       236 |       4692 |                       rich.themes
import time:       291 |        291 |                       rich._emoji_replace
import time:       282 |        282 |                       rich._export_format
import time:       210 |        210 |                       rich._fileno
import time:       249 |        249 |                           rich._loop
import time:       234 |        234 |                           rich._pick
import time:       308 |        308 |                                 rich._unicode_data._versions
import time:       352 |        659 |                               rich._unicode_data
import time:       477 |       1135 |                             rich.cells
import time:       255 |       1389 |                           rich._wrap
import time:       836 |        836 |                                 rich.segment
import time:       221 |       1056 |                               rich.jupyter
import time:       129 |        129 |                                 rich.protocol
import time:       482 |        610 |                               rich.measure
import time:       232 |       1897 |                             rich.constrain
import time:       766 |       2662 |                           rich.align
import time:       332 |        332 |                           rich.containers
import time:      2640 |       2640 |                           rich.control
import time:       424 |        424 |                           rich.emoji
import time:       843 |       8770 |                         rich.text
